distance_km,traffic_level,weather,prep_time_min,delivery_time_min
2,1,0,10,25
5,2,0,15,45
3,1,1,12,35
10,3,0,20,80
7,2,1,18,65
1,0,0,8,18
4,1,0,12,32
6,2,2,16,60
8,3,1,22,78
12,3,2,25,100
9,2,0,20,72
2,0,1,9,22
3,1,2,11,34
5,2,1,15,50
7,3,0,19,75
11,3,2,26,105
4,1,0,13,33
6,2,1,17,58
8,3,2,21,85
10,3,1,23,90
1,0,0,7,16
2,0,1,9,20
3,1,0,11,28
4,1,2,13,38
5,2,0,15,48
6,2,1,16,55
7,3,2,20,82
8,3,0,21,79
9,2,1,19,70
10,3,2,24,95
11,3,1,25,98
12,3,0,26,102
3,1,1,12,36
4,1,0,13,34
5,2,2,15,52
6,2,0,17,57
7,3,1,19,74
8,3,2,22,88
9,2,0,20,71
10,3,1,23,89
2,0,0,8,19
3,1,0,11,29
4,1,1,13,37
5,2,0,15,47
6,2,2,17,62
7,3,0,19,76
8,3,1,22,83
9,2,2,20,75
10,3,0,23,92
11,3,2,25,103
12,3,1,26,101
